DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82699,12732,WP30105,0,E,11,C0D1F1T0,1,mm,a4_121820
D82699,1609,WP30105,0,E,11,C1D1F0T0,2,mm,a4_121820
D82699,6697,WP30105,0,E,11,C1D0F1T0,1,mm,a4_121820
D82699,6710,WP30105,0,E,11,C0D1F1T1,1,mm,a4_121820
D82699,6794,WP30105,0,E,11,C0D0F1T0,1,mm,a4_121820
D82699,12893,WP30105,0,E,11,C0D1F0T0,1,mm,a4_121820
D82699,15740,WP30105,0,E,11,C0D0F0T1,1,mm,a4_121820
D82699,9798,WP30105,0,E,11,C0D0F1T1,1,mm,a4_121820
D82699,9946,WP30105,0,E,11,C0D1F0T1,0,mm,a4_121820
D82699,9972,WP30105,0,E,11,C1D1F1T1,1,mm,a4_121820
D82699,6825,WP30105,0,E,11,C1D0F0T0,1,mm,a4_121820
D82699,11328,WP30105,0,E,12,C0D1F1T1,1,mm,a4_121820
D82699,5416,WP30105,0,E,12,C1D1F1T1,1,mm,a4_121820
D82699,11535,WP30105,0,E,12,C1D0F0T0,1,mm,a4_121820
D82699,5271,WP30105,0,E,12,C0D1F0T0,1,mm,a4_121820
D82699,11433,WP30105,0,E,12,C0D0F1T1,1,mm,a4_121820
D82699,9875,WP30105,0,E,12,C0D0F1T0,1,mm,a4_121820
D82699,11555,WP30105,0,E,12,C0D1F0T1,1,mm,a4_121820
D82699,11123,WP30105,0,E,12,C0D0F0T1,2,mm,a4_121820
D82699,15901,WP30105,0,E,12,C1D1F0T0,1,mm,a4_121820
D82699,14433,WP30105,0,E,12,C1D0F1T0,1,mm,a4_121820
D82699,19177,WP30105,0,E,12,C0D1F1T0,0,mm,a4_121820
D82699,9541,WP30105,0,E,12,C1D0F0T1,1,mm,a4_121820
D82699,15828,WP30105,0,F,1,C0D1F1T0,1,mm,a4_121820
D82699,6936,WP30105,0,F,1,C1D1F1T1,1,mm,a4_121820
D82699,15961,WP30105,0,F,1,C1D1F0T0,1,mm,a4_121820
D82699,3803,WP30105,0,F,1,C1D0F0T0,1,mm,a4_121820
D82699,11538,WP30105,0,F,1,C0D1F0T0,1,mm,a4_121820
D82699,1610,WP30105,0,F,1,C1D0F0T1,1,mm,a4_121820
D82699,8390,WP30105,0,F,1,C0D0F1T0,1,mm,a4_121820
D82699,11534,WP30105,0,F,1,C0D1F0T1,1,mm,a4_121820
D82699,8327,WP30105,0,F,1,C0D0F1T1,1,mm,a4_121820
D82699,14143,WP30105,0,F,1,C0D0F0T1,0,mm,a4_121820
D82699,14483,WP30105,0,F,1,C1D0F1T0,1,mm,a4_121820
D82699,11393,WP30105,0,F,1,C0D1F1T1,1,mm,a4_121820
D82699,11514,WP30105,0,F,2,C0D0F1T0,1,mm,a4_121820
D82699,5742,WP30105,0,F,2,C0D1F0T1,2,mm,a4_121820
D82699,13036,WP30105,0,F,2,C0D0F1T1,1,mm,a4_121820
D82699,14360,WP30105,0,F,2,C1D0F0T1,1,mm,a4_121820
D82699,3720,WP30105,0,F,2,C1D0F1T0,1,mm,a4_121820
D82699,3806,WP30105,0,F,2,C0D1F0T0,1,mm,a4_121820
D82699,3658,WP30105,0,F,2,C0D1F1T1,0,mm,a4_121820
D82699,16127,WP30105,0,F,2,C0D1F1T0,1,mm,a4_121820
D82699,6763,WP30105,0,F,2,C0D0F0T1,1,mm,a4_121820
D82699,2606,WP30105,0,F,2,C1D1F1T1,1,mm,a4_121820
D82699,16018,WP30105,0,F,2,C1D1F0T0,1,mm,a4_121820
D82699,5410,WP30105,0,F,2,C1D0F0T0,1,mm,a4_121820
D82699,411,WP30105,0,F,3,C0D1F0T1,1,mm,a4_121820
D82699,8806,WP30105,0,F,3,C1D1F1T1,1,mm,a4_121820
D82699,6850,WP30105,0,F,3,C0D0F1T1,1,mm,a4_121820
D82699,17656,WP30105,0,F,3,C1D1F0T0,1,mm,a4_121820
D82699,14298,WP30105,0,F,3,C1D0F0T1,1,mm,a4_121820
D82699,13121,WP30105,0,F,3,C0D0F1T0,1,mm,a4_121820
D82699,3664,WP30105,0,F,3,C0D0F0T1,1,mm,a4_121820
D82699,18861,WP30105,0,F,3,C0D1F1T0,1,mm,a4_121820
D82699,12985,WP30105,0,F,3,C1D0F1T0,1,mm,a4_121820
D82699,9978,WP30105,0,F,3,C0D1F0T0,1,mm,a4_121820
D82699,5202,WP30105,0,F,3,C0D1F1T1,1,mm,a4_121820
D82699,14659,WP30105,0,F,3,C1D0F0T0,1,mm,a4_121820
D82699,12731,WP30105,0,F,4,C1D0F0T1,1,mm,a4_121820
D82699,1067,WP30105,0,F,4,C1D0F0T0,1,mm,a4_121820
D82699,8731,WP30105,0,F,4,C1D1F1T1,1,mm,a4_121820
D82699,13099,WP30105,0,F,4,C0D0F1T1,1,mm,a4_121820
D82699,9816,WP30105,0,F,4,C1D1F0T0,1,mm,a4_121820
D82699,6948,WP30105,0,F,4,C0D1F0T0,1,mm,a4_121820
