PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
19717,WP30105,0,C,1,C0D1F1T1,1,mm,a4_121820
5532,WP30105,0,C,1,C0D0F1T0,1,mm,a4_121820
2395,WP30105,0,C,1,C1D1F1T1,1,mm,a4_121820
19723,WP30105,0,C,1,C0D0F1T1,1,mm,a4_121820
826,WP30105,0,C,1,C0D1F0T1,1,mm,a4_121820
522,WP30105,0,C,1,C1D0F1T0,1,mm,a4_121820
3682,WP30105,0,C,1,C1D1F0T0,1,mm,a4_121820
14974,WP30105,0,C,2,C0D1F0T1,1,mm,a4_121820
809,WP30105,0,C,2,C1D1F1T1,0,mm,a4_121820
14468,WP30105,0,C,2,C1D0F0T1,1,mm,a4_121820
16048,WP30105,0,C,2,C1D1F0T0,1,mm,a4_121820
19534,WP30105,0,C,2,C0D0F1T1,1,mm,a4_121820
698,WP30105,0,C,2,C0D0F1T0,1,mm,a4_121820
19941,WP30105,0,C,2,C0D1F0T0,1,mm,a4_121820
1100,WP30105,0,C,2,C0D1F1T0,1,mm,a4_121820
16430,WP30105,0,C,2,C1D0F0T0,1,mm,a4_121820
4089,WP30105,0,C,2,C1D0F1T0,1,mm,a4_121820
19794,WP30105,0,C,2,C0D1F1T1,1,mm,a4_121820
11950,WP30105,0,C,2,C0D0F0T1,1,mm,a4_121820
19724,WP30105,0,C,3,C0D1F0T1,1,mm,a4_121820
14677,WP30105,0,C,3,C0D1F0T0,1,mm,a4_121820
2297,WP30105,0,C,3,C1D1F1T1,1,mm,a4_121820
14777,WP30105,0,C,3,C0D0F1T1,1,mm,a4_121820
2831,WP30105,0,C,3,C0D1F1T0,1,mm,a4_121820
4049,WP30105,0,C,3,C1D0F1T0,1,mm,a4_121820
10285,WP30105,0,C,3,C0D1F1T1,1,mm,a4_121820
3637,WP30105,0,C,3,C1D0F0T1,1,mm,a4_121820
19682,WP30105,0,C,3,C0D0F1T0,2,mm,a4_121820
13528,WP30105,0,C,3,C0D0F0T1,1,mm,a4_121820
19459,WP30105,0,C,3,C1D0F0T0,1,mm,a4_121820
11502,WP30105,0,C,3,C1D1F0T0,1,mm,a4_121820
4629,WP30105,0,C,4,C0D1F1T0,2,mm,a4_121820
13581,WP30105,0,C,4,C0D0F0T1,1,mm,a4_121820
11456,WP30105,0,C,4,C1D0F0T1,1,mm,a4_121820
3811,WP30105,0,C,4,C1D1F0T0,1,mm,a4_121820
5456,WP30105,0,C,4,C1D1F1T1,1,mm,a4_121820
4084,WP30105,0,C,4,C1D0F1T0,1,mm,a4_121820
13415,WP30105,0,C,4,C0D1F0T1,1,mm,a4_121820
19899,WP30105,0,C,4,C1D0F0T0,1,mm,a4_121820
14900,WP30105,0,C,4,C0D0F1T0,1,mm,a4_121820
13151,WP30105,0,C,4,C0D1F0T0,1,mm,a4_121820
10140,WP30105,0,C,4,C0D0F1T1,1,mm,a4_121820
13289,WP30105,0,C,4,C0D1F1T1,1,mm,a4_121820
7320,WP30105,0,C,5,C0D1F0T0,1,mm,a4_121820
14976,WP30105,0,C,5,C1D1F1T1,1,mm,a4_121820
13116,WP30105,0,C,5,C1D1F0T0,1,mm,a4_121820
615,WP30105,0,C,5,C1D0F1T0,1,mm,a4_121820
13662,WP30105,0,C,5,C0D0F0T1,1,mm,a4_121820
18290,WP30105,0,C,5,C1D0F0T0,1,mm,a4_121820
9889,WP30105,0,C,5,C1D0F0T1,1,mm,a4_121820
16386,WP30105,0,C,5,C0D0F1T0,1,mm,a4_121820
16444,WP30105,0,C,5,C0D1F0T1,1,mm,a4_121820
4360,WP30105,0,C,5,C0D1F1T0,1,mm,a4_121820
10526,WP30105,0,C,5,C0D0F1T1,1,mm,a4_121820
10232,WP30105,0,C,5,C0D1F1T1,1,mm,a4_121820
16041,WP30105,0,C,6,C1D0F0T1,1,mm,a4_121820
8645,WP30105,0,C,6,C1D0F1T0,1,mm,a4_121820
13482,WP30105,0,C,6,C0D1F0T0,0,mm,a4_121820
19896,WP30105,0,C,6,C0D1F1T1,1,mm,a4_121820
11780,WP30105,0,C,6,C0D0F1T0,1,mm,a4_121820
10038,WP30105,0,C,6,C1D1F0T0,1,mm,a4_121820
